5

3 2
1 2
0 20 51 35
20 0 30 34
51 30 0 12
35 34 12 0

9 8
1 2 3 4 5 6 7 8
0 42 360 335 188 170 725 479 359 206
42 0 402 377 146 212 767 521 401 248
360 402 0 573 548 190 392 488 490 154
335 377 573 0 293 383 422 717 683 419
188 146 548 293 0 358 715 667 539 394
170 212 190 383 358 0 582 370 300 36
725 767 392 422 715 582 0 880 704 546
479 521 488 717 667 370 880 0 323 334
359 401 490 683 539 300 704 323 0 336
206 248 154 419 394 36 546 334 336 0

10 5
1 2 3 4 5
0 42 468 188 324 170 501 479 359 360 398
42 0 510 146 282 212 543 492 401 318 356
468 510 0 437 392 605 435 154 293 383 421
188 146 437 0 428 358 689 448 547 464 502
324 282 392 428 0 370 328 546 300 36 74
170 212 605 358 370 0 465 649 323 334 372
501 543 435 689 328 465 0 589 142 292 254
479 492 154 448 546 649 589 0 447 537 575
359 401 293 547 300 323 142 447 0 336 374
360 318 383 464 36 334 292 537 336 0 38
398 356 421 502 74 372 254 575 374 38 0

15 15
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
0 42 182 335 182 170 277 211 284 262 196 168 146 282 362 241
42 0 224 377 224 212 319 253 326 304 154 210 188 324 404 283
182 224 0 366 72 110 217 151 224 152 378 58 36 229 302 131
335 377 366 0 294 256 149 297 142 251 254 352 330 261 225 359
182 224 72 294 0 38 145 79 152 152 378 58 36 191 230 131
170 212 110 256 38 0 107 41 114 190 366 96 74 229 192 169
277 319 217 149 145 107 0 148 7 102 331 203 181 126 85 224
211 253 151 297 79 41 148 0 155 231 407 137 115 270 233 210
284 326 224 142 152 114 7 155 0 109 324 210 188 119 83 217
262 304 152 251 152 190 102 231 109 0 433 138 116 228 187 211
196 154 378 254 378 366 331 407 324 433 0 364 342 307 407 387
168 210 58 352 58 96 203 137 210 138 364 0 22 171 288 73
146 188 36 330 36 74 181 115 188 116 342 22 0 193 266 95
282 324 229 261 191 229 126 270 119 228 307 171 193 0 202 98
362 404 302 225 230 192 85 233 83 187 407 288 266 202 0 300
241 283 131 359 131 169 224 210 217 211 387 73 95 98 300 0

15 14
1 2 3 4 5 6 7 8 9 10 11 12 13 14
0 42 182 335 182 170 277 211 284 262 196 168 146 282 362 241
42 0 224 377 224 212 319 253 326 304 154 210 188 324 404 283
182 224 0 366 72 110 217 151 224 152 378 58 36 229 302 131
335 377 366 0 294 256 149 297 142 251 254 352 330 261 225 359
182 224 72 294 0 38 145 79 152 152 378 58 36 191 230 131
170 212 110 256 38 0 107 41 114 190 366 96 74 229 192 169
277 319 217 149 145 107 0 148 7 102 331 203 181 126 85 224
211 253 151 297 79 41 148 0 155 231 407 137 115 270 233 210
284 326 224 142 152 114 7 155 0 109 324 210 188 119 83 217
262 304 152 251 152 190 102 231 109 0 433 138 116 228 187 211
196 154 378 254 378 366 331 407 324 433 0 364 342 307 407 387
168 210 58 352 58 96 203 137 210 138 364 0 22 171 288 73
146 188 36 330 36 74 181 115 188 116 342 22 0 193 266 95
282 324 229 261 191 229 126 270 119 228 307 171 193 0 202 98
362 404 302 225 230 192 85 233 83 187 407 288 266 202 0 300
241 283 131 359 131 169 224 210 217 211 387 73 95 98 300 0
